1002APD	1195APD	1777.0
1002APD	1195APD	1778.0
1002APD	1195APD	1778.0
1002APD	1195APD	1782.0
1002APD	1195APD	1783.0
1002APD	1195APD	1784.0
1002APD	1195APD	1784.0
1002APD	1195APD	1787.0
1002APD	1195APD	1787.0
1002APD	1195APD	1791.0
1002APD	1195APD	1795.913696068455
1002APD	1195APD	1796.0
1002APD	1195APD	1796.0
1002APD	1208APD	-208362.0
1002APD	1223APD	48785.0
1002APD	1223APD	49107.0
1002APD	1240APD	-40771.0
1002APD	1240APD	-41497.0
1002APD	1276APD	-94552.0
1002APD	1276APD	-95914.0
1002APD	1285APD	-220796.0
1002APD	132APD	-271039.0
1002APD	1355APD	52041.0
1002APD	1368APD	-32907.0
1002APD	1368APD	-33564.0
1002APD	1386APD	-8104.0
1002APD	1386APD	-8136.0
1002APD	1386APD	-8305.0
1002APD	1386APD	-8305.0
1002APD	1386APD	-8310.0
1002APD	1386APD	-8311.0
1002APD	1386APD	-8361.0
1002APD	1386APD	-8373.0
1002APD	1386APD	-8377.0
1002APD	1386APD	-8421.0
1002APD	1406APD	18600.0
1002APD	1406APD	18741.0
1002APD	1406APD	18743.0
1002APD	1415APD	45404.0
1002APD	1415APD	45540.0
1002APD	1416APD	-82464.0
1002APD	1416APD	-83807.0
1002APD	1417APD	43376.0
1002APD	1417APD	43541.0
1002APD	1440APD	17324.0
1002APD	1440APD	17451.0
1002APD	1440APD	17464.0
1002APD	1441APD	-46825.0
1002APD	1441APD	-47737.0
1002APD	1473APD	10330.0
1002APD	1473APD	10335.0
1002APD	1473APD	10355.0
1002APD	1473APD	10378.0
1002APD	1473APD	10383.0
1002APD	1473APD	10404.0
1002APD	1473APD	10420.0
1002APD	1473APD	10435.0
1002APD	1491APD	33621.0
1002APD	1491APD	33730.0
1002APD	1508APD	87567.0
1002APD	1510APD	-206453.0
1002APD	1572APD	-161808.0
1002APD	1599APD	-117795.0
1002APD	1634APD	-93459.0
1002APD	1634APD	-94753.0
1002APD	1689APD	41058.0
1002APD	1689APD	41216.0
1002APD	1706APD	-79782.0
1002APD	1706APD	-81175.0
1002APD	1747APD	-83234.0
1002APD	1747APD	-84568.0
1002APD	1749APD	-52034.0
1002APD	1749APD	-53097.0
1002APD	1750APD	-101261.0
