1002APD_0	2287APD_0	34570.0
1002APD_0	2287APD_0	35296.0
1002APD_0	2370APD_0	67770.0
1002APD_0	2370APD_0	69012.0
1002APD_0	2391APD_0	128620.0
1002APD_0	2399APD_0	163536.0
1002APD_0	2455APD_0	164662.0
1002APD_0	253APD_0	138570.0
1002APD_0	271APD_0	272709.0
1002APD_0	273APD_0	58902.0
1002APD_0	273APD_0	59993.0
1002APD_0	279APD_0	262128.0
1002APD_0	300APD_0	210972.0
1002APD_0	342APD_0	175151.0
1002APD_0	350APD_0	42437.0
1002APD_0	350APD_0	43260.0
1002APD_0	361APD_0	119739.0
1002APD_0	381APD_0	20605.0
1002APD_0	381APD_0	20754.0
1002APD_0	381APD_0	20841.0
1002APD_0	381APD_0	20887.0
1002APD_0	381APD_0	20907.0
1002APD_0	381APD_0	20953.0
1002APD_0	40APD_0	224122.0
1002APD_0	441APD_0	10035.0
1002APD_0	441APD_0	10041.0
1002APD_0	441APD_0	10045.0
1002APD_0	441APD_0	10061.0
1002APD_0	441APD_0	10063.0
1002APD_0	441APD_0	10114.0
1002APD_0	441APD_0	10143.0
1002APD_0	441APD_0	10166.0
1002APD_0	441APD_0	9835.0
1002APD_0	441APD_0	9864.0
1002APD_0	454APD_0	134164.0
1002APD_0	483APD_0	216017.0
1002APD_0	484APD_0	141451.0
1002APD_0	485APD_0	148115.0
1002APD_0	494APD_0	168632.0
1002APD_0	51APD_0	139245.0
1002APD_0	555APD_0	110149.0
1002APD_0	559APD_0	48530.0
1002APD_0	559APD_0	49475.0
1002APD_0	722APD_0	12169.0
1002APD_0	722APD_0	12411.0
1002APD_0	722APD_0	12427.0
1002APD_0	722APD_0	12439.0
1002APD_0	722APD_0	12456.0
1002APD_0	722APD_0	12471.0
1002APD_0	722APD_0	12517.0
1002APD_0	722APD_0	12528.0
1002APD_0	722APD_0	12540.0
1002APD_0	724APD_0	97628.0
1002APD_0	737APD_0	261011.0
1002APD_0	768APD_0	16742.0
1002APD_0	768APD_0	16926.0
1002APD_0	768APD_0	16959.0
1002APD_0	768APD_0	16975.0
1002APD_0	768APD_0	16994.0
1002APD_0	768APD_0	17010.0
1002APD_0	768APD_0	17030.0
1002APD_0	894APD_0	56623.0
1002APD_0	894APD_0	57691.0
1002APD_0	903APD_0	96650.0
1002APD_0	903APD_0	98035.0
1002APD_0	955APD_0	6496.0
1002APD_0	955APD_0	6496.0
1002APD_0	955APD_0	6497.0
1002APD_0	955APD_0	6501.0
1002APD_0	955APD_0	6518.0
1002APD_0	955APD_0	6526.0
1002APD_0	955APD_0	6545.0
1002APD_0	955APD_0	6549.0
1002APD_0	955APD_0	6564.0
1002APD_0	955APD_0	6566.0
1002APD_0	955APD_0	6574.0
