1002APD	1195APD	1776.0
1002APD	1195APD	1777.0
1002APD	1195APD	1777.0
1002APD	1195APD	1781.0
1002APD	1195APD	1782.0
1002APD	1195APD	1783.0
1002APD	1195APD	1783.0
1002APD	1195APD	1786.0
1002APD	1195APD	1786.0
1002APD	1195APD	1790.0
1002APD	1195APD	1794.913696068455
1002APD	1195APD	1795.0
1002APD	1195APD	1795.0
1002APD	1208APD	-208361.0
1002APD	1223APD	48784.0
1002APD	1223APD	49106.0
1002APD	1240APD	-40770.0
1002APD	1240APD	-41496.0
1002APD	1276APD	-94551.0
1002APD	1276APD	-95913.0
1002APD	1285APD	-220795.0
1002APD	132APD	-271038.0
1002APD	1355APD	52040.0
1002APD	1368APD	-32906.0
1002APD	1368APD	-33563.0
1002APD	1386APD	-8103.0
1002APD	1386APD	-8135.0
1002APD	1386APD	-8304.0
1002APD	1386APD	-8304.0
1002APD	1386APD	-8309.0
1002APD	1386APD	-8310.0
1002APD	1386APD	-8360.0
1002APD	1386APD	-8372.0
1002APD	1386APD	-8376.0
1002APD	1386APD	-8420.0
1002APD	1406APD	18599.0
1002APD	1406APD	18740.0
1002APD	1406APD	18742.0
1002APD	1415APD	45403.0
1002APD	1415APD	45539.0
1002APD	1416APD	-82463.0
1002APD	1416APD	-83806.0
1002APD	1417APD	43375.0
1002APD	1417APD	43540.0
1002APD	1440APD	17323.0
1002APD	1440APD	17450.0
1002APD	1440APD	17463.0
1002APD	1441APD	-46824.0
1002APD	1441APD	-47736.0
1002APD	1473APD	10329.0
1002APD	1473APD	10334.0
1002APD	1473APD	10354.0
1002APD	1473APD	10377.0
1002APD	1473APD	10382.0
1002APD	1473APD	10403.0
1002APD	1473APD	10419.0
1002APD	1473APD	10434.0
1002APD	1491APD	33620.0
1002APD	1491APD	33729.0
1002APD	1508APD	87566.0
1002APD	1510APD	-206452.0
1002APD	1572APD	-161807.0
1002APD	1599APD	-117794.0
1002APD	1634APD	-93458.0
1002APD	1634APD	-94752.0
1002APD	1689APD	41057.0
1002APD	1689APD	41215.0
1002APD	1706APD	-79781.0
1002APD	1706APD	-81174.0
1002APD	1747APD	-83233.0
1002APD	1747APD	-84567.0
1002APD	1749APD	-52033.0
1002APD	1749APD	-53096.0
1002APD	1750APD	-101260.0
1002APD	1750APD	-102631.0
1002APD	1812APD	-4594.0
1002APD	1812APD	-4754.0
1002APD	1812APD	-4773.0
1002APD	1812APD	-4774.0
1002APD	1812APD	-4776.0
1002APD	1812APD	-4786.0
1002APD	1812APD	-4787.0
1002APD	1812APD	-4790.0
1002APD	1812APD	-4795.0
1002APD	1812APD	-4803.0
1002APD	1812APD	-4815.0
1002APD	1812APD	-4823.0
1002APD	1812APD	-4824.0
1002APD	1812APD	-4830.0
1002APD	1812APD	-4847.0
1002APD	1812APD	-4866.0
1002APD	1822APD	-172225.0
1002APD	1823APD	52050.0
1002APD	1823APD	52373.0
1002APD	1880APD	21425.0
1002APD	1880APD	21479.0
1002APD	1883APD	16947.0
1002APD	1883APD	17094.0
1002APD	18APD	-253410.0
1002APD	1908APD	-54906.0
1002APD	1908APD	-55939.0
1002APD	1922APD	-102980.0
1002APD	1922APD	-104349.0
1002APD	1941APD	-78630.0
1002APD	1941APD	-79986.0
1002APD	1948APD	-173401.0
1002APD	2004APD	-73081.0
1002APD	2004APD	-74337.0
1002APD	2020APD	26229.0
1002APD	2020APD	26293.0
1002APD	2039APD	8146.0
1002APD	2039APD	8163.0
1002APD	2039APD	8179.0
1002APD	2039APD	8182.0
1002APD	2039APD	8186.0
1002APD	2039APD	8189.0
1002APD	2039APD	8193.0
1002APD	2039APD	8201.0
1002APD	2039APD	8208.0
1002APD	2039APD	8229.0
1002APD	2039APD	8262.0
1002APD	2039APD	8289.0
1002APD	2066APD	-222376.0
1002APD	2073APD	-15019.0
1002APD	2073APD	-15213.0
1002APD	2073APD	-15230.0
1002APD	2073APD	-15278.0
1002APD	2073APD	-15297.0
1002APD	2073APD	-15312.0
1002APD	2073APD	-15314.0
1002APD	2102APD	-90718.0
1002APD	2102APD	-92047.0
1002APD	210APD	-69167.0
1002APD	210APD	-70412.0
1002APD	211APD	-259155.0
1002APD	2141APD	-158292.0
1002APD	2159APD	35447.0
1002APD	2159APD	35557.0
1002APD	2172APD	-74763.0
1002APD	2172APD	-76084.0
1002APD	2195APD	-255050.0
1002APD	2212APD	87939.0
1002APD	2269APD	-3164.142311015714
1002APD	2269APD	-3166.0
1002APD	2269APD	-3167.0
1002APD	2269APD	-3168.0
1002APD	2269APD	-3169.0
1002APD	2269APD	-3169.0
1002APD	2269APD	-3170.0
1002APD	2269APD	-3171.0
1002APD	2269APD	-3171.0
1002APD	2269APD	-3173.0
1002APD	2269APD	-3173.0
1002APD	2269APD	-3173.0
1002APD	2269APD	-3174.0
1002APD	2269APD	-3175.0
1002APD	2269APD	-3175.0
1002APD	2269APD	-3175.0
1002APD	2269APD	-3176.0
1002APD	2269APD	-3179.0
1002APD	2269APD	-3180.0
1002APD	2278APD	-201377.0
1002APD	2286APD	53737.0
1002APD	2286APD	54063.0
1002APD	2287APD	-37023.0
1002APD	2287APD	-37749.0
1002APD	2370APD	-66786.0
1002APD	2370APD	-68028.0
1002APD	2391APD	-132518.0
1002APD	2399APD	-162930.0
1002APD	240APD	80974.0
1002APD	2455APD	-166891.0
1002APD	253APD	-137517.0
1002APD	271APD	-278797.0
1002APD	273APD	-66142.0
1002APD	273APD	-67233.0
1002APD	279APD	-266260.0
1002APD	300APD	-212078.0
1002APD	332APD	60053.0
1002APD	332APD	60400.0
1002APD	342APD	-197546.0
1002APD	350APD	-45126.0
1002APD	350APD	-45949.0
1002APD	361APD	-125097.0
1002APD	381APD	-28595.0
1002APD	381APD	-28744.0
1002APD	381APD	-28831.0
1002APD	381APD	-28877.0
1002APD	381APD	-28897.0
1002APD	381APD	-28943.0
1002APD	384APD	77044.0
1002APD	40APD	-234772.0
1002APD	441APD	-10498.0
1002APD	441APD	-10527.0
1002APD	441APD	-10698.0
1002APD	441APD	-10704.0
1002APD	441APD	-10708.0
1002APD	441APD	-10724.0
1002APD	441APD	-10726.0
1002APD	441APD	-10777.0
1002APD	441APD	-10806.0
1002APD	441APD	-10829.0
1002APD	454APD	-136848.0
1002APD	477APD	68424.0
1002APD	477APD	68784.0
1002APD	483APD	-219873.0
1002APD	484APD	-146702.0
1002APD	485APD	-157570.0
1002APD	494APD	-168391.0
1002APD	51APD	-139711.0
1002APD	555APD	-113637.0
1002APD	559APD	-50870.0
1002APD	559APD	-51815.0
1002APD	610APD	29490.0
1002APD	610APD	29508.0
1002APD	722APD	-12571.0
1002APD	722APD	-12813.0
1002APD	722APD	-12829.0
1002APD	722APD	-12841.0
1002APD	722APD	-12858.0
1002APD	722APD	-12873.0
1002APD	722APD	-12919.0
1002APD	722APD	-12930.0
1002APD	722APD	-12942.0
1002APD	724APD	-96311.0
1002APD	737APD	-260406.0
1002APD	755APD	44264.0
1002APD	755APD	44415.0
1002APD	768APD	-16102.0
1002APD	768APD	-16286.0
1002APD	768APD	-16319.0
1002APD	768APD	-16335.0
1002APD	768APD	-16354.0
1002APD	768APD	-16370.0
1002APD	768APD	-16390.0
1002APD	817APD	48685.0
1002APD	859APD	24364.0
1002APD	859APD	24440.0
1002APD	894APD	-56901.0
1002APD	894APD	-57969.0
1002APD	902APD	13242.0
1002APD	902APD	13320.0
1002APD	902APD	13324.0
1002APD	902APD	13330.0
1002APD	902APD	13336.0
1002APD	902APD	13358.0
1002APD	902APD	13394.0
1002APD	903APD	-96956.0
1002APD	903APD	-98341.0
1002APD	955APD	-7326.0
1002APD	955APD	-7326.0
1002APD	955APD	-7327.0
1002APD	955APD	-7331.0
1002APD	955APD	-7348.0
1002APD	955APD	-7356.0
1002APD	955APD	-7375.0
1002APD	955APD	-7379.0
1002APD	955APD	-7394.0
1002APD	955APD	-7396.0
1002APD	955APD	-7404.0
1002APD	964APD	12232.0
1002APD	964APD	12251.0
1002APD	964APD	12309.0
1002APD	964APD	12318.0
1002APD	964APD	12329.0
1002APD	964APD	12352.0
1002APD	964APD	12372.0
1002APD	964APD	12391.0
1002APD	975APD	31782.0
1002APD	975APD	31842.0
1002APD	994APD	-126545.0
1002APD	999APD	-160336.0
1003APD	1035APD	19086.0
1003APD	1035APD	19119.0
1003APD	1035APD	19674.0
1003APD	1181APD	-30665.0
1003APD	1181APD	-30826.0
1003APD	1181APD	-30829.0
1003APD	1181APD	-30913.0
1003APD	1191APD	-94198.0
1003APD	1195APD	-10013.0
1003APD	1195APD	-9766.0
1003APD	1195APD	-9777.0
1003APD	1195APD	-9784.0
1003APD	1195APD	-9785.0
1003APD	1195APD	-9824.0
1003APD	1195APD	-9827.0
1003APD	1195APD	-9831.0
1003APD	1195APD	-9836.0
1003APD	1195APD	-9843.0
1003APD	1195APD	-9845.0
1003APD	1195APD	-9849.0
1003APD	1195APD	-9868.0
1003APD	1195APD	-9877.0
1003APD	1195APD	-9908.0
1003APD	1195APD	-9962.0
1003APD	1223APD	37195.0
1003APD	1223APD	37518.0
1003APD	1240APD	-53078.0
1003APD	1276APD	-107495.0
1003APD	1355APD	40452.0
1003APD	1368APD	-45145.0
1003APD	1386APD	-19616.0
1003APD	1386APD	-19886.0
1003APD	1386APD	-19893.0
1003APD	1386APD	-19899.0
1003APD	1386APD	-19937.0
1003APD	1386APD	-19951.0
1003APD	1406APD	6971.0
1003APD	1406APD	7001.0
1003APD	1406APD	7071.0
1003APD	1406APD	7123.0
1003APD	1406APD	7144.0
1003APD	1406APD	7152.0
1003APD	1406APD	7153.0
1003APD	1406APD	7374.0
1003APD	1415APD	33814.0
1003APD	1415APD	33951.0
1003APD	1416APD	-95388.0
1003APD	1417APD	31786.0
1003APD	1417APD	31952.0
1003APD	1440APD	5696.0
1003APD	1440APD	5725.0
1003APD	1440APD	5790.0
1003APD	1440APD	5834.0
1003APD	1440APD	5835.0
1003APD	1440APD	5861.0
1003APD	1440APD	5875.0
1003APD	1440APD	5877.0
1003APD	1440APD	5951.0
1003APD	1441APD	-59318.0
1003APD	1473APD	-1180.0
1003APD	1473APD	-1195.0
1003APD	1473APD	-1199.0
1003APD	1473APD	-1200.0
1003APD	1473APD	-1201.0
1003APD	1473APD	-1208.0
1003APD	1473APD	-1209.0
1003APD	1473APD	-1209.0
1003APD	1473APD	-1210.2911219482373
1003APD	1473APD	-1211.0
1003APD	1473APD	-1213.0
1003APD	1473APD	-1214.0
1003APD	1473APD	-1214.0
1003APD	1473APD	-1214.0
1003APD	1473APD	-1215.0
1003APD	1473APD	-1215.0
1003APD	1473APD	-1216.0
1003APD	1473APD	-1216.0
1003APD	1473APD	-1220.0
1003APD	1491APD	22031.0
1003APD	1491APD	22141.0
1003APD	1508APD	75978.0
1003APD	1634APD	-106334.0
1003APD	1689APD	29468.0
1003APD	1689APD	29627.0
1003APD	1706APD	-92756.0
1003APD	1747APD	-96149.0
1003APD	1749APD	-64678.0
1003APD	1750APD	-114213.0
1003APD	1812APD	-16257.0
1003APD	1812APD	-16355.0
1003APD	1812APD	-16374.0
1003APD	1812APD	-16382.0
1003APD	1812APD	-16386.0
1003APD	1812APD	-16401.0
1003APD	1812APD	-16438.0
1003APD	1823APD	40461.0
1003APD	1823APD	40785.0
1003APD	1880APD	9699.0
1003APD	1880APD	9837.0
1003APD	1880APD	9844.0
1003APD	1880APD	9890.0
1003APD	1883APD	5349.0
1003APD	1883APD	5362.0
1003APD	1883APD	5425.0
1003APD	1883APD	5456.0
1003APD	1883APD	5506.0
1003APD	1908APD	-67521.0
1003APD	1922APD	-115931.0
